,Player,Team,AGE,GP_x,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,year
333,Matthew Dellavedova,CLE,24,67,43,24,20.6,4.8,4.6,36.2,2.5,40.7,0.6,76.3,0.6,1.3,1.9,3.0,0.9,0.4,0.0,2.3,11.8,2,0,0.6,2015,0,False,0.64,G,56.0,2.7,2015
334,Bismack Biyombo,CHA,22,64,26,38,19.4,4.8,2.9,54.3,0.0,0.0,2.7,58.3,2.5,3.9,6.4,0.3,0.8,0.3,1.5,2.2,17.4,6,0,-0.5,2015,0,False,0.41,C-F,49.4,-4.7,2015
335,Damjan Rudez,IND,29,68,28,40,15.4,4.8,3.9,45.2,2.5,40.6,0.3,69.6,0.1,0.6,0.7,0.8,0.7,0.2,0.1,1.2,7.0,0,0,0.5,2015,0,False,0.41,F,65.2,12.2,2015
336,John Lucas III,DET,32,21,8,13,12.9,4.7,5.0,40.4,1.4,31.0,0.2,100.0,0.2,0.6,0.8,2.9,0.8,0.4,0.0,0.9,10.2,0,0,-2.2,2015,0,False,0.38,G,60.0,9.2,2015
337,Jordan Farmar,LAC,28,36,23,13,14.7,4.6,4.4,38.6,2.7,36.1,0.3,90.9,0.2,0.9,1.2,1.9,0.9,0.6,0.1,1.4,10.0,0,0,-1.2,2015,0,False,0.64,G,54.7,2.3,2015
338,Sergey Karasev,BKN,21,33,12,21,16.8,4.6,4.1,40.3,1.6,29.6,1.2,76.3,0.7,1.3,2.0,1.4,0.7,0.7,0.0,1.4,10.6,0,0,0.5,2015,0,False,0.36,G-F,51.2,-0.9,2015
339,JaVale McGee,DEN,27,23,8,15,11.1,4.6,3.4,53.2,0.0,0.0,1.4,66.7,0.8,1.9,2.7,0.1,0.8,0.1,0.9,1.3,10.1,0,0,-3.0,2015,0,False,0.35,C,53.8,1.6,2015
340,Markel Brown,BKN,23,47,23,24,16.6,4.6,4.5,36.2,1.4,26.6,1.2,82.5,0.3,1.9,2.3,0.8,0.6,0.7,0.3,1.2,10.7,1,0,-0.5,2015,0,False,0.49,G,60.9,9.8,2015
341,Robert Sacre,LAL,26,67,19,48,16.9,4.6,4.6,41.2,0.0,0.0,1.2,67.1,1.3,2.1,3.5,0.8,0.5,0.4,0.6,1.8,12.6,0,0,-1.0,2015,0,False,0.28,C,52.1,-2.4,2015
342,Dorell Wright,POR,29,48,28,20,12.3,4.6,4.0,37.9,2.3,38.0,0.9,81.0,0.3,2.0,2.3,0.9,0.4,0.4,0.2,1.1,10.2,0,0,1.6,2015,0,False,0.58,F,54.7,1.6,2015
343,Jannero Pargo,CHA,35,9,2,7,8.1,4.6,3.9,42.9,2.4,40.9,0.2,100.0,0.0,0.3,0.3,0.9,0.3,0.0,0.0,0.9,6.0,0,0,-0.2,2015,0,False,0.22,G,50.0,-2.9,2015
344,Jon Leuer,MEM,26,63,45,18,13.1,4.5,4.3,44.3,0.5,24.1,0.9,62.7,0.8,2.5,3.3,0.7,0.6,0.3,0.1,1.4,10.3,1,0,-0.4,2015,0,False,0.71,F,49.4,-4.5,2015
345,Arinze Onuaku,MIN,27,6,0,6,11.4,4.5,2.3,85.7,0.0,0.0,1.3,37.5,1.2,2.3,3.5,0.7,0.3,0.2,0.5,1.0,11.4,0,0,-3.0,2015,0,False,0.0,F-C,60.0,3.7,2015
346,Alonzo Gee,POR,28,54,21,33,12.2,4.5,3.4,46.8,0.6,37.1,1.4,70.1,0.7,1.1,1.7,0.5,0.6,0.6,0.1,1.1,9.0,0,0,-1.9,2015,0,False,0.39,F,54.0,0.3,2015
347,Robbie Hummel,MIN,26,45,5,40,16.5,4.4,3.8,45.9,1.1,31.4,0.6,82.8,0.7,2.3,3.0,0.6,0.4,0.4,0.2,1.9,10.1,2,0,-3.3,2015,0,False,0.11,F,56.4,1.8,2015
348,James Jones,CLE,34,57,35,22,11.7,4.4,3.5,36.8,3.1,36.0,0.8,84.8,0.2,0.9,1.1,0.4,0.2,0.2,0.1,1.2,7.2,0,0,-1.9,2015,0,False,0.61,F,61.9,8.5,2015
349,Andre Miller,SAC,39,81,44,37,15.5,4.4,3.6,50.0,0.4,20.6,1.0,75.3,0.5,1.4,1.9,3.5,1.3,0.4,0.1,1.3,12.0,1,0,-1.6,2015,0,False,0.54,G,54.5,2.1,2015
350,Jeffery Taylor,CHA,26,29,11,18,14.8,4.4,3.9,39.5,1.2,30.6,1.4,63.4,0.5,1.3,1.8,0.8,0.7,0.4,0.0,1.2,8.4,0,0,-4.4,2015,0,False,0.38,F,61.5,7.4,2015
351,Nik Stauskas,SAC,21,73,26,47,15.4,4.4,4.1,36.5,2.0,32.2,0.9,85.9,0.2,1.1,1.2,0.9,0.5,0.3,0.2,1.3,8.2,0,0,-1.8,2015,0,False,0.36,G,58.5,5.5,2015
352,Festus Ezeli,GSW,25,46,39,7,10.9,4.4,3.0,54.7,0.0,0.0,1.7,62.8,1.3,2.1,3.4,0.2,0.7,0.2,0.9,1.7,11.2,0,0,0.3,2015,0,False,0.85,C,51.7,-2.8,2015
353,Ian Mahinmi,IND,28,61,28,33,18.8,4.3,3.5,55.2,0.0,0.0,1.7,30.4,1.7,4.1,5.8,0.5,1.0,0.5,0.8,2.8,14.9,2,0,-0.1,2015,0,False,0.46,C,49.4,-3.6,2015
354,Steve Blake,POR,35,81,51,30,18.9,4.3,4.0,37.3,2.7,35.2,0.5,70.7,0.2,1.5,1.7,3.6,1.3,0.5,0.1,1.5,12.1,0,0,1.3,2015,0,False,0.63,G,54.7,2.3,2015
355,Justin Holiday,GSW,26,59,49,10,11.1,4.3,4.0,38.7,1.8,32.1,0.8,82.2,0.2,1.0,1.2,0.8,0.5,0.7,0.2,0.9,9.2,0,0,-0.2,2015,0,False,0.83,G,51.9,-0.3,2015
356,Perry Jones III,OKC,23,43,23,20,14.7,4.3,4.3,39.7,1.4,23.3,0.9,64.9,0.1,1.6,1.8,0.4,0.6,0.4,0.2,1.2,8.2,0,0,-3.0,2015,0,False,0.53,F,57.5,2.1,2015
357,Spencer Dinwiddie,DET,22,34,12,22,13.4,4.3,5.0,30.2,1.9,18.5,1.0,91.2,0.1,1.3,1.4,3.1,1.0,0.6,0.2,1.6,11.8,1,0,-2.1,2015,0,False,0.35,G,43.8,-6.7,2015
358,Toney Douglas,NOP,29,12,7,5,14.7,4.3,4.3,37.3,1.5,27.8,1.1,61.5,0.2,1.7,1.8,2.0,0.8,0.9,0.3,1.7,12.4,0,0,0.6,2015,0,False,0.58,G,47.4,-6.6,2015
359,Josh McRoberts,MIA,28,17,8,9,17.4,4.2,3.1,52.8,1.1,42.1,0.8,61.5,0.4,2.2,2.6,1.9,1.3,0.7,0.2,2.4,11.7,0,0,1.9,2015,0,False,0.47,F,57.1,3.1,2015
360,Kostas Papanikolaou,HOU,24,43,29,14,18.5,4.2,4.6,35.0,2.5,29.2,0.4,72.2,0.9,1.8,2.7,2.0,1.3,0.7,0.3,1.7,12.1,0,0,-0.9,2015,0,False,0.67,F,55.0,0.6,2015
361,Kendall Marshall,MIL,23,28,13,15,14.9,4.2,3.6,45.5,1.6,39.1,0.3,88.9,0.1,0.9,1.0,3.1,1.3,0.8,0.0,0.9,11.0,0,0,2.0,2015,0,False,0.46,G,62.1,10.8,2015
362,Udonis Haslem,MIA,35,62,31,31,16.0,4.2,3.9,44.8,0.2,20.0,1.0,70.3,1.1,3.0,4.2,0.7,0.7,0.3,0.2,1.8,11.3,3,0,-2.5,2015,0,False,0.5,F,61.0,7.4,2015
363,Lorenzo Brown,MIN,24,29,6,23,18.9,4.2,4.2,42.6,1.0,21.4,0.7,63.2,0.5,1.9,2.4,3.1,1.0,1.0,0.2,1.7,14.2,0,0,-3.2,2015,0,False,0.21,G,61.0,8.2,2015
364,Nick Calathes,MEM,26,58,36,22,14.4,4.2,4.3,42.1,0.7,25.6,0.8,53.3,0.3,1.5,1.8,2.5,1.1,1.1,0.1,1.7,12.6,0,0,1.5,2015,0,False,0.62,G,51.4,-1.2,2015
365,Nick Collison,OKC,34,66,38,28,16.7,4.1,3.8,41.9,0.9,26.7,1.0,69.2,1.4,2.4,3.8,1.4,0.7,0.5,0.4,2.4,12.8,0,0,1.3,2015,0,False,0.58,F,55.1,1.3,2015
366,James Michael McAdoo,GSW,22,15,11,4,9.1,4.1,2.9,54.5,0.0,0.0,1.7,56.0,1.0,1.5,2.5,0.1,0.4,0.3,0.6,1.4,9.7,0,0,0.6,2015,0,False,0.73,F,53.1,-0.7,2015
367,Pablo Prigioni,HOU,38,67,25,42,17.9,4.1,3.4,39.9,2.5,34.3,0.6,85.4,0.4,1.3,1.8,2.6,0.9,1.2,0.0,1.3,12.7,0,0,-1.0,2015,0,False,0.37,G,57.1,3.4,2015
368,Luke Babbitt,NOP,26,63,34,29,13.2,4.1,3.0,47.9,1.8,51.3,0.3,68.4,0.2,1.6,1.8,0.4,0.4,0.3,0.2,1.0,7.7,0,0,-1.6,2015,0,False,0.54,F,60.8,6.7,2015
369,Miles Plumlee,MIL,26,73,34,39,16.4,4.0,3.5,53.5,0.0,0.0,0.6,47.8,1.5,2.8,4.4,0.5,0.7,0.6,0.9,1.5,13.7,1,0,0.0,2015,0,False,0.47,C-F,52.2,-1.6,2015
370,Luke Ridnour,ORL,34,47,13,34,14.5,4.0,3.7,42.6,1.3,31.7,0.4,85.7,0.2,1.3,1.4,2.0,0.8,0.4,0.1,1.4,9.5,0,0,-2.7,2015,0,False,0.28,G,57.1,5.4,2015
371,Samuel Dalembert,NYK,35,32,5,27,17.0,4.0,4.1,43.8,0.0,0.0,0.6,70.0,1.7,3.6,5.3,0.9,1.2,0.4,1.3,2.2,15.6,1,0,-5.5,2015,0,False,0.16,C,44.9,-9.7,2015
372,Shannon Brown,MIA,29,5,3,2,17.8,4.0,3.8,36.8,1.4,42.9,0.8,75.0,0.0,0.2,0.2,0.6,0.8,0.8,0.0,1.6,6.7,0,0,-3.2,2015,0,False,0.6,G,50.0,-6.3,2015
373,Glen Davis,LAC,29,74,52,22,12.2,4.0,3.4,45.9,0.1,0.0,1.3,63.2,0.6,1.7,2.3,0.5,0.5,0.6,0.3,1.8,9.5,0,0,-1.1,2015,0,False,0.7,F-C,53.8,0.5,2015
374,Garrett Temple,WAS,29,52,28,24,14.1,3.9,3.3,40.0,1.7,37.5,0.9,72.9,0.5,1.3,1.7,1.1,0.7,0.8,0.2,1.5,9.9,0,0,-0.9,2015,0,False,0.54,G,43.6,-7.2,2015
375,Travis Wear,NYK,24,51,7,44,13.2,3.9,4.1,40.2,0.6,36.7,0.5,76.9,0.6,1.5,2.1,0.8,0.7,0.3,0.2,1.1,8.4,0,0,-1.6,2015,0,False,0.14,F,52.8,0.2,2015
376,Joffrey Lauvergne,DEN,23,24,9,15,11.2,3.9,3.7,40.4,0.7,18.8,1.2,64.3,1.1,2.1,3.2,0.5,0.9,0.3,0.4,1.8,9.9,0,0,-4.7,2015,0,False,0.38,F-C,50.7,-3.2,2015
377,Larry Drew II,PHI,25,12,4,8,18.3,3.8,4.8,34.5,2.2,15.4,0.3,66.7,0.1,1.2,1.3,3.8,2.1,0.5,0.0,1.1,10.4,0,0,-6.1,2015,0,False,0.33,G,64.0,9.7,2015
378,Austin Daye,ATL,27,34,17,17,10.1,3.8,4.1,35.5,2.1,33.8,0.2,83.3,0.3,1.9,2.2,0.5,0.7,0.4,0.1,1.1,8.0,2,0,-1.3,2015,0,False,0.5,F,57.4,4.7,2015
379,Reggie Evans,SAC,35,47,16,31,16.3,3.7,2.9,42.3,0.0,0.0,2.1,61.9,2.1,4.3,6.4,0.7,1.0,0.5,0.1,1.9,13.2,2,0,-1.0,2015,0,False,0.34,C-F,66.9,11.7,2015
380,Troy Daniels,CHA,23,47,15,32,8.5,3.7,3.5,37.0,2.5,36.4,0.3,84.6,0.2,0.5,0.7,0.5,0.4,0.1,0.0,0.9,5.3,0,0,-1.8,2015,0,False,0.32,G,61.2,9.0,2015
381,Hedo Turkoglu,LAC,36,62,42,20,11.4,3.7,3.0,44.1,2.2,43.2,0.2,54.5,0.1,1.5,1.6,0.6,0.5,0.3,0.1,1.1,7.3,0,0,0.2,2015,0,False,0.68,F,45.1,-7.7,2015
382,Raymond Felton,DAL,31,29,14,15,9.7,3.7,3.7,40.6,1.2,29.4,0.5,80.0,0.1,0.8,0.9,1.4,0.6,0.4,0.1,0.6,7.9,0,0,-0.7,2015,0,False,0.48,G,29.0,-23.1,2015
383,Matt Bonner,SAS,35,72,49,23,13.0,3.7,3.2,40.9,1.8,36.5,0.5,81.1,0.4,1.2,1.6,0.7,0.2,0.1,0.2,0.9,7.3,0,0,0.5,2015,0,False,0.68,C-F,41.5,-11.7,2015
384,Tyler Ennis,MIL,20,33,11,22,12.5,3.7,4.4,36.1,1.3,27.9,0.2,71.4,0.2,0.8,1.1,2.2,1.3,0.5,0.2,1.1,9.1,0,0,-1.8,2015,0,False,0.33,G,48.6,-2.1,2015
385,Dewayne Dedmon,ORL,25,59,17,42,14.3,3.7,2.7,56.2,0.0,0.0,1.1,53.1,2.0,3.0,5.0,0.2,0.9,0.3,0.8,2.4,12.4,2,0,-0.4,2015,0,False,0.29,C,42.1,-11.6,2015
386,Cory Jefferson,BKN,24,50,18,32,10.6,3.7,3.3,44.9,0.3,13.3,1.1,57.4,0.9,2.0,2.9,0.3,0.4,0.2,0.4,1.2,9.1,1,0,1.5,2015,0,False,0.36,F,52.2,-1.6,2015
387,Tyler Hansbrough,TOR,29,74,45,29,14.3,3.6,2.2,52.1,0.1,14.3,1.9,69.8,1.4,2.1,3.6,0.3,0.3,0.4,0.2,1.9,9.9,2,0,2.6,2015,0,False,0.61,F-C,56.5,3.0,2015
388,Kendrick Perkins,CLE,30,68,38,30,16.9,3.6,3.3,44.9,0.0,0.0,1.2,50.6,1.3,3.4,4.7,0.8,1.4,0.2,0.6,2.4,11.6,0,0,0.3,2015,0,False,0.56,C,47.2,-5.8,2015
389,Lester Hudson,LAC,30,5,5,0,11.1,3.6,2.8,42.9,1.2,50.0,0.8,75.0,0.2,1.4,1.6,1.0,0.6,1.2,0.2,0.8,10.6,0,0,-1.2,2015,0,False,1.0,G,60.0,11.4,2015
390,Jimmer Fredette,NOP,26,50,27,23,10.2,3.6,3.3,38.0,1.0,18.8,0.9,95.6,0.2,0.6,0.8,1.2,0.7,0.3,0.0,0.9,6.6,0,0,0.8,2015,0,False,0.54,G,65.5,14.3,2015
391,Phil Pressey,BOS,24,50,22,28,12.0,3.5,3.5,36.8,1.3,24.6,1.0,67.3,0.3,1.3,1.6,2.3,0.8,0.6,0.1,1.1,10.3,1,0,0.0,2015,0,False,0.44,G,66.7,15.8,2015
392,Jeff Adrien,HOU,29,17,1,16,12.7,3.5,2.6,43.2,0.0,0.0,2.2,57.9,1.4,3.2,4.5,0.9,0.5,0.2,0.5,1.8,12.1,0,0,-0.8,2015,0,False,0.06,F,50.0,-3.7,2015
393,Joel Freeland,POR,28,48,34,14,12.8,3.5,3.1,49.0,0.0,0.0,0.5,84.0,1.3,2.7,4.0,0.3,0.5,0.2,0.5,1.9,10.3,1,0,1.3,2015,0,False,0.71,C-F,47.3,-6.3,2015
394,Maurice Harkless,ORL,22,45,9,36,15.0,3.5,3.5,39.9,1.2,17.9,0.9,53.7,0.8,1.5,2.4,0.6,0.6,0.7,0.2,1.5,9.3,0,0,-2.0,2015,0,False,0.2,F,65.5,11.2,2015
395,Gary Harris,DEN,20,55,18,37,13.1,3.4,3.9,30.4,1.9,20.4,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.7,0.1,1.3,7.4,0,0,-3.1,2015,0,False,0.33,G,55.1,1.9,2015
396,Andre Roberson,OKC,23,67,41,26,19.2,3.4,3.0,45.8,1.3,24.7,0.7,47.9,0.9,2.9,3.8,1.0,0.7,0.8,0.4,2.1,12.5,1,0,1.6,2015,0,False,0.61,G,47.8,-6.2,2015
397,Erick Green,DEN,24,43,15,28,9.5,3.4,3.8,37.7,1.1,29.8,0.3,83.3,0.2,0.6,0.7,0.9,0.3,0.3,0.0,0.6,6.1,0,0,-1.9,2015,0,False,0.35,G,67.9,15.3,2015
398,James Young,BOS,19,31,14,17,10.7,3.4,3.3,35.3,2.1,25.8,0.9,55.2,0.3,1.1,1.4,0.4,0.2,0.3,0.1,0.7,6.4,0,0,0.2,2015,0,False,0.45,G-F,60.6,8.3,2015
399,Jason Maxiell,CHA,32,61,22,39,14.4,3.3,3.1,42.2,0.0,0.0,1.2,57.7,1.4,1.9,3.3,0.3,0.5,0.3,0.7,1.6,10.4,0,0,-2.5,2015,0,False,0.36,F,50.6,-3.4,2015
400,Noah Vonleh,CHA,19,25,8,17,10.3,3.3,3.0,39.5,0.5,38.5,1.0,69.2,1.1,2.3,3.4,0.2,0.4,0.2,0.4,0.8,8.8,1,0,-2.7,2015,0,False,0.32,F,45.8,-7.1,2015
401,Martell Webster,WAS,28,32,12,20,11.0,3.3,2.8,26.4,1.3,23.3,2.0,75.0,0.3,1.1,1.4,0.5,0.7,0.2,0.0,0.8,5.9,0,0,-4.2,2015,0,False,0.38,F-G,66.7,11.7,2015
402,Allen Crabbe,POR,23,51,36,15,13.4,3.3,3.0,41.2,1.7,35.3,0.3,75.0,0.1,1.3,1.4,0.8,0.3,0.4,0.3,1.5,7.9,0,0,-0.5,2015,0,False,0.71,F,56.8,3.9,2015
403,Francisco Garcia,HOU,33,14,10,4,14.3,3.2,4.5,27.0,3.2,22.2,0.3,25.0,0.2,1.0,1.2,1.1,0.7,0.6,0.4,1.4,8.6,0,0,-0.7,2015,0,False,0.71,G-F,53.8,-1.4,2015
404,Will Bynum,WAS,32,7,4,3,9.5,3.1,4.4,32.3,1.3,0.0,0.6,50.0,0.3,0.6,0.9,2.6,1.1,0.1,0.1,1.3,7.7,0,0,-7.1,2015,0,False,0.57,G,50.0,-0.2,2015
405,Jerome Jordan,BKN,28,44,17,27,8.7,3.1,2.1,53.2,0.0,0.0,1.0,86.4,1.2,1.2,2.4,0.3,0.5,0.2,0.3,1.3,7.5,1,0,-1.7,2015,0,False,0.39,C,48.2,-5.6,2015
406,Jordan Adams,MEM,20,30,14,16,8.3,3.1,2.9,40.7,0.8,40.0,0.8,60.9,0.3,0.6,0.9,0.5,0.5,0.5,0.2,0.8,6.9,0,0,0.6,2015,0,False,0.47,G,55.9,4.0,2015
407,Dwight Powell,DAL,23,29,11,18,8.2,3.1,2.3,46.3,0.4,27.3,1.1,75.8,0.6,1.1,1.7,0.3,0.4,0.3,0.2,1.4,6.8,0,0,0.0,2015,0,False,0.38,F,50.0,-2.6,2015
408,Doug McDermott,CHI,23,36,23,13,8.9,3.0,3.0,40.2,1.1,31.7,0.4,66.7,0.2,1.0,1.2,0.2,0.5,0.1,0.0,0.8,4.7,0,0,-2.3,2015,0,False,0.64,F,66.7,13.8,2015
409,Jarnell Stokes,MEM,21,19,12,7,6.6,3.0,1.9,56.8,0.0,0.0,1.5,53.6,0.8,0.9,1.8,0.2,0.4,0.3,0.3,1.3,6.7,0,0,0.8,2015,0,False,0.63,F-C,55.2,1.5,2015
410,Ryan Hollins,SAC,30,46,13,33,9.6,3.0,1.8,64.6,0.0,0.0,1.2,57.4,0.8,1.5,2.2,0.3,0.5,0.1,0.4,1.4,7.2,0,0,-1.2,2015,0,False,0.28,C,54.5,-0.3,2015
411,Johnny O'Bryant III,MIL,22,34,17,17,10.8,2.9,3.5,36.7,0.0,0.0,0.8,44.4,0.8,1.1,1.9,0.5,0.7,0.1,0.1,1.3,6.0,0,0,-2.9,2015,0,False,0.5,F,60.0,6.9,2015
412,Quincy Miller,DET,22,10,2,8,12.0,2.9,3.8,23.7,1.8,16.7,1.1,72.7,0.4,1.6,2.0,0.8,0.5,0.7,0.5,0.9,9.6,0,0,4.4,2015,0,False,0.2,F,42.1,-9.5,2015
413,Shayne Whittington,IND,24,20,9,11,5.4,2.9,2.1,45.2,0.3,16.7,1.2,78.3,0.5,1.0,1.5,0.3,0.3,0.3,0.1,0.9,5.8,0,0,0.8,2015,0,False,0.45,F-C,73.1,20.0,2015
414,Elliot Williams,PHI,26,13,6,7,9.1,2.8,2.8,37.8,1.4,44.4,0.3,25.0,0.0,0.6,0.6,0.9,0.3,0.3,0.0,0.9,5.6,0,0,0.6,2015,0,False,0.46,G,66.7,16.4,2015
415,Bernard James,DAL,30,16,6,10,9.9,2.8,1.7,44.4,0.0,0.0,1.4,87.0,1.1,1.3,2.4,0.3,0.4,0.1,0.9,1.1,8.9,0,0,-0.6,2015,0,False,0.38,C,41.5,-11.7,2015
416,Jordan Hamilton,LAC,24,14,10,4,8.7,2.7,2.5,40.0,1.5,47.6,0.0,0.0,0.1,1.0,1.1,0.5,0.3,0.1,0.0,1.0,5.0,0,0,-2.1,2015,0,False,0.71,G-F,66.7,15.4,2015
417,Earl Clark,BKN,27,10,6,4,9.3,2.7,3.0,36.7,1.4,28.6,0.4,25.0,0.1,2.2,2.3,0.3,0.6,0.3,0.4,1.2,7.4,0,0,-2.8,2015,0,False,0.6,F,28.6,-25.4,2015
418,Jeff Ayres,SAS,28,51,33,18,7.5,2.7,1.9,57.9,0.0,0.0,0.7,75.0,0.7,1.6,2.3,0.3,0.5,0.2,0.2,1.2,6.3,0,0,-1.1,2015,0,False,0.65,F-C,60.2,6.7,2015
419,Clint Capela,HOU,21,12,8,4,7.5,2.7,2.4,48.3,0.0,0.0,1.9,17.4,0.8,2.2,3.0,0.2,0.4,0.1,0.8,1.2,8.6,0,0,0.7,2015,0,False,0.67,C,39.5,-14.5,2015
420,David Stockton,SAC,24,3,1,2,11.0,2.7,2.0,33.3,0.7,50.0,2.0,50.0,0.0,0.7,0.7,3.0,1.3,0.7,0.0,0.3,8.6,0,0,7.7,2015,0,False,0.33,G,50.0,0.2,2015
421,Elton Brand,ATL,36,36,25,11,13.5,2.7,2.6,44.2,0.0,0.0,0.6,52.2,0.8,2.0,2.8,0.6,0.5,0.5,0.7,1.5,9.9,0,0,0.1,2015,1,False,0.69,F-C,49.2,-3.1,2015
422,Joe Harris,CLE,23,51,32,19,9.7,2.7,2.4,40.0,1.6,36.9,0.3,60.0,0.1,0.7,0.8,0.5,0.5,0.1,0.0,1.2,4.4,0,0,-2.0,2015,0,False,0.63,G,65.2,12.2,2015
423,Joey Dorsey,HOU,31,69,48,21,12.4,2.7,2.1,55.2,0.0,0.0,1.2,28.9,1.5,2.6,4.0,0.4,0.6,0.6,0.4,2.3,10.3,0,0,0.2,2015,0,False,0.7,C-F,53.8,-1.1,2015
424,E'Twaun Moore,CHI,26,56,36,20,9.0,2.7,2.5,44.6,0.7,34.2,0.4,60.0,0.2,0.6,0.8,0.6,0.3,0.4,0.1,0.8,5.7,0,0,-0.5,2015,0,False,0.64,G,53.4,1.7,2015
425,Jorge Gutierrez,MIL,26,20,10,10,8.7,2.7,2.1,53.7,0.2,0.0,0.7,69.2,0.3,1.0,1.3,1.1,0.6,0.3,0.0,1.3,6.1,0,0,-1.4,2015,0,False,0.5,G,57.9,6.8,2015
426,Jeff Withey,NOP,25,37,17,20,7.0,2.6,1.7,50.0,0.0,0.0,1.4,68.0,0.6,1.1,1.7,0.3,0.3,0.1,0.5,0.7,6.6,0,0,-1.1,2015,0,False,0.46,C,44.0,-9.9,2015
427,Malcolm Thomas,PHI,26,17,2,15,11.4,2.6,2.4,45.0,0.4,0.0,0.8,69.2,0.9,2.4,3.3,0.4,0.8,0.2,0.1,1.0,7.2,0,0,-6.4,2015,0,False,0.12,F,63.5,10.5,2015
428,Nick Johnson,HOU,22,28,18,10,9.4,2.6,2.7,34.7,0.8,23.8,0.9,68.0,0.5,0.9,1.4,0.4,0.7,0.3,0.1,1.2,5.3,0,0,-1.7,2015,0,False,0.64,G,55.3,-0.2,2015
429,JaMychal Green,MEM,25,24,10,14,6.8,2.6,2.0,57.4,0.3,0.0,0.4,80.0,0.8,1.1,1.9,0.2,0.6,0.2,0.2,1.0,5.8,0,0,-1.0,2015,0,False,0.42,F,57.7,0.0,2015
430,Russ Smith,MEM,24,12,7,5,5.4,2.5,2.1,32.0,0.9,18.2,1.1,92.3,0.1,0.4,0.5,0.7,1.0,0.3,0.0,1.1,3.9,0,0,1.8,2015,0,False,0.58,G,66.7,18.6,2015
431,Victor Claver,POR,26,10,6,4,7.6,2.4,2.0,45.0,1.1,54.5,0.0,0.0,0.3,1.7,2.0,0.1,0.4,0.1,0.1,1.2,5.2,0,0,2.1,2015,0,False,0.6,F,50.0,0.1,2015
432,Jeremy Evans,UTA,27,38,19,19,7.0,2.4,1.5,55.2,0.1,40.0,0.8,82.8,0.7,1.2,1.9,0.3,0.1,0.3,0.3,0.8,6.8,0,0,0.8,2015,0,False,0.5,F,50.0,-2.8,2015
433,Devyn Marble,ORL,22,16,3,13,13.0,2.3,2.8,31.8,1.4,18.2,1.0,31.3,0.3,1.6,1.9,1.1,0.6,0.6,0.1,0.9,7.7,0,0,-1.0,2015,0,False,0.19,F,56.5,2.2,2015
434,Furkan Aldemir,PHI,23,41,9,32,13.2,2.3,1.9,51.3,0.1,0.0,0.7,48.1,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,10.4,1,0,-2.5,2015,0,False,0.22,F-C,55.8,2.0,2015
435,Kyle Anderson,SAS,21,33,22,11,10.9,2.2,2.7,34.8,0.3,27.3,0.4,64.3,0.2,2.0,2.2,0.8,0.3,0.5,0.2,0.8,7.8,0,0,-1.1,2015,0,False,0.67,F,61.1,5.8,2015
436,Xavier Henry,LAL,24,9,1,8,9.5,2.2,1.4,23.1,0.0,0.0,2.7,58.3,0.2,0.2,0.4,0.3,0.3,0.3,0.0,0.7,3.9,0,0,1.6,2015,0,False,0.11,F-G,87.5,35.3,2015
437,Glen Rice,WAS,24,5,4,1,8.5,2.2,3.0,20.0,1.4,14.3,1.2,66.7,0.4,0.4,0.8,0.4,0.4,0.0,0.0,2.2,3.4,0,0,-4.4,2015,2,False,0.8,G-F,66.7,15.0,2015
438,Glen Rice,WAS,24,5,4,1,8.5,2.2,3.0,20.0,1.4,14.3,1.2,66.7,0.4,0.4,0.8,0.4,0.4,0.0,0.0,2.2,3.4,0,0,-4.4,2015,2,False,0.8,G-F,66.7,15.0,2015
439,Darius Morris,BKN,24,38,14,24,7.9,2.2,2.8,34.0,0.9,21.2,0.2,44.4,0.2,0.5,0.7,1.3,0.6,0.2,0.0,0.5,5.1,0,0,-1.7,2015,0,False,0.37,G,77.8,25.8,2015
440,Mike Miller,CLE,35,52,31,21,13.5,2.1,2.2,32.5,1.9,32.7,0.1,75.0,0.1,1.7,1.8,0.9,0.4,0.3,0.1,1.4,6.1,0,0,-1.4,2015,0,False,0.6,G-F,53.8,-0.6,2015
441,Glenn Robinson III,PHI,21,35,2,33,7.5,2.1,1.9,38.8,0.5,26.3,0.7,66.7,0.4,0.7,1.1,0.3,0.3,0.2,0.0,0.4,4.2,0,0,0.8,2015,0,False,0.06,G-F,64.3,12.1,2015
442,Earl Barron,PHX,33,16,5,11,8.9,2.0,2.4,30.8,0.3,50.0,0.8,50.0,0.9,0.9,1.8,0.3,0.3,0.3,0.1,1.6,5.4,0,0,-3.6,2015,0,False,0.31,F-C,56.0,-0.1,2015
443,Grant Jerrett,UTA,21,8,6,2,6.4,2.0,3.3,26.9,1.9,6.7,0.1,100.0,0.3,0.9,1.1,0.4,0.4,0.3,0.3,1.4,5.0,0,0,-2.5,2015,0,False,0.75,F,66.7,11.5,2015
